INCIDENCE_CITY_ID,NPA,GNR,EXP,DATE_FROM,DATE_TO,TEXT_FR,text_en
8349999,999999,8349,8349,2001-03-20T14:00:00Z,NA,Afrique du Sud,Afrique du Sud
8350999,999999,8350,8350,2001-03-20T14:00:00Z,NA,Soudan,Soudan
8353999,999999,8353,8353,2001-03-20T14:00:00Z,NA,Tanzanie et Zanzibar,Tanzanie et Zanzibar
8354999,999999,8354,8354,2001-03-20T14:00:00Z,NA,Togo,Togo
8356999,999999,8356,8356,2001-03-20T14:00:00Z,NA,Tchad,Tchad
8357999,999999,8357,8357,2001-03-20T14:00:00Z,NA,Tunisie,Tunisie
8358999,999999,8358,8358,2001-03-20T14:00:00Z,NA,Ouganda,Ouganda
8359999,999999,8359,8359,2001-03-20T14:00:00Z,NA,Egypte,Egypte
8362999,999999,8362,8362,2001-03-20T14:00:00Z,NA,Érythrée,Érythrée
8399999,999999,8399,8399,2001-03-20T14:00:00Z,NA,Autres pays d'Afrique,Autres pays d'Afrique
8400999,999999,8400,8400,2001-03-20T14:00:00Z,NA,Amérique SAI,Amérique SAI
8401999,999999,8401,8401,2001-03-20T14:00:00Z,NA,Argentine,Argentine
8402999,999999,8402,8402,2001-03-20T14:00:00Z,NA,Bahamas,Bahamas
8405999,999999,8405,8405,2001-03-20T14:00:00Z,NA,Bolivie,Bolivie
8406999,999999,8406,8406,2001-03-20T14:00:00Z,NA,Brésil,Brésil
8407999,999999,8407,8407,2001-03-20T14:00:00Z,NA,"Chili, Ile de Pàques, Sala y Gomez","Chili, Ile de Pàques, Sala y Gomez"
8408999,999999,8408,8408,2001-03-20T14:00:00Z,NA,Costa Rica,Costa Rica
8409999,999999,8409,8409,2001-03-20T14:00:00Z,NA,République dominicaine,République dominicaine
8410999,999999,8410,8410,2001-03-20T14:00:00Z,NA,Equateur,Equateur
8414999,999999,8414,8414,2001-03-20T14:00:00Z,NA,Guadeloupe,Guadeloupe
8415999,999999,8415,8415,2001-03-20T14:00:00Z,NA,Guatemala,Guatemala
8418999,999999,8418,8418,2001-03-20T14:00:00Z,NA,Haïti,Haïti
8423999,999999,8423,8423,2001-03-20T14:00:00Z,NA,Canada,Canada
8424999,999999,8424,8424,2001-03-20T14:00:00Z,NA,Colombie,Colombie
8425999,999999,8425,8425,2001-03-20T14:00:00Z,NA,Cuba,Cuba
8426999,999999,8426,8426,2001-03-20T14:00:00Z,NA,Martinique,Martinique
8427999,999999,8427,8427,2001-03-20T14:00:00Z,NA,Mexique,Mexique
8429999,999999,8429,8429,2001-03-20T14:00:00Z,NA,Nicaragua,Nicaragua
8430999,999999,8430,8430,2001-03-20T14:00:00Z,NA,Panama,Panama
8431999,999999,8431,8431,2001-03-20T14:00:00Z,NA,Paraguay,Paraguay
8432999,999999,8432,8432,2001-03-20T14:00:00Z,NA,Pérou,Pérou
8437999,999999,8437,8437,2001-03-20T14:00:00Z,NA,Uruguay,Uruguay
8438999,999999,8438,8438,2001-03-20T14:00:00Z,NA,Venezuela,Venezuela
8439999,999999,8439,8439,2001-03-20T14:00:00Z,NA,Etats-Unis,Etats-Unis
8440999,999999,8440,8440,2001-03-20T14:00:00Z,NA,Dominique,Dominique
8443999,999999,8443,8443,2001-03-20T14:00:00Z,NA,Sainte-Lucie,Sainte-Lucie
8481999,999999,8481,8481,2001-03-20T14:00:00Z,NA,Antilles NL,Antilles NL
8502999,999999,8502,8502,2001-03-20T14:00:00Z,NA,Bahreïn,Bahreïn
8506999,999999,8506,8506,2001-03-20T14:00:00Z,NA,Sri Lanka,Sri Lanka
8509999,999999,8509,8509,2001-03-20T14:00:00Z,NA,Hong Kong,Hong Kong
8510999,999999,8510,8510,2001-03-20T14:00:00Z,NA,Inde,Inde
8511999,999999,8511,8511,2001-03-20T14:00:00Z,NA,Indonésie,Indonésie
8512999,999999,8512,8512,2001-03-20T14:00:00Z,NA,Irak,Irak
8513999,999999,8513,8513,2001-03-20T14:00:00Z,NA,Iran,Iran
8514999,999999,8514,8514,2001-03-20T14:00:00Z,NA,Israël,Israël
8515999,999999,8515,8515,2001-03-20T14:00:00Z,NA,Japon,Japon
8517999,999999,8517,8517,2001-03-20T14:00:00Z,NA,Jordanie,Jordanie
8519999,999999,8519,8519,2001-03-20T14:00:00Z,NA,Qatar,Qatar
8521999,999999,8521,8521,2001-03-20T14:00:00Z,NA,Koweït,Koweït
8523999,999999,8523,8523,2001-03-20T14:00:00Z,NA,Liban,Liban
8525999,999999,8525,8525,2001-03-20T14:00:00Z,NA,Malaisie,Malaisie
8526999,999999,8526,8526,2001-03-20T14:00:00Z,NA,Maldives,Maldives
8527999,999999,8527,8527,2001-03-20T14:00:00Z,NA,Oman,Oman
8528999,999999,8528,8528,2001-03-20T14:00:00Z,NA,Mongolie,Mongolie
8529999,999999,8529,8529,2001-03-20T14:00:00Z,NA,Népal,Népal
8532999,999999,8532,8532,2001-03-20T14:00:00Z,NA,Emirats arabes unis,Emirats arabes unis
8533999,999999,8533,8533,2001-03-20T14:00:00Z,NA,Pakistan,Pakistan
8534999,999999,8534,8534,2001-03-20T14:00:00Z,NA,Philippines,Philippines
8535999,999999,8535,8535,2001-03-20T14:00:00Z,NA,Arabie saoudite,Arabie saoudite
8537999,999999,8537,8537,2001-03-20T14:00:00Z,NA,Singapour,Singapour
8541999,999999,8541,8541,2001-03-20T14:00:00Z,NA,Syrie,Syrie
8542999,999999,8542,8542,2001-03-20T14:00:00Z,NA,Thaïlande,Thaïlande
8545999,999999,8545,8545,2001-03-20T14:00:00Z,NA,Vietnam,Vietnam
8546999,999999,8546,8546,2001-03-20T14:00:00Z,NA,Bangladesh,Bangladesh
8560999,999999,8560,8560,2001-03-20T14:00:00Z,NA,Arménie,Arménie
8561999,999999,8561,8561,2001-03-20T14:00:00Z,NA,Azerbaïdjan,Azerbaïdjan
8562999,999999,8562,8562,2001-03-20T14:00:00Z,NA,Géorgie,Géorgie
8563999,999999,8563,8563,2001-03-20T14:00:00Z,NA,Kazakhstan,Kazakhstan
8564999,999999,8564,8564,2001-03-20T14:00:00Z,NA,Kirghizistan,Kirghizistan
8601999,999999,8601,8601,2001-03-20T14:00:00Z,NA,Australie,Australie
8607999,999999,8607,8607,2001-03-20T14:00:00Z,NA,Nouvelle-Zélande,Nouvelle-Zélande
8999999,999999,8999,8999,2001-03-20T14:00:00Z,NA,Etat inconnu ou non indiqué,Etat inconnu ou non indiqué
