gender,period,cat_age_map,gnr,nbcas,geo_unit_name,pop
1,2001,65+,6619,5,Corsier,263
1,2007,0-19,6639,0,Soral,263
2,2007,65+,6625,0,Hermance,263
2,2016,65+,6611,6,Chancy,263
2,2010,0-19,6639,0,Soral,264
1,1998,65+,6629,6,Meinier,265
1,2007,65+,6615,6,Collex-Bossy,265
2,1992,20-64,6624,0,Gy,265
2,2013,65+,6639,2,Soral,265
1,1992,65+,6622,4,Genthod,266
1,2013,0-19,6610,0,Céligny,266
2,2010,65+,6625,5,Hermance,266
2,2016,0-19,6639,0,Soral,267
1,1992,0-19,6609,0,Cartigny,268
1,2010,0-19,6610,0,Céligny,268
2,1995,65+,6619,6,Corsier,268
1,2007,0-19,6610,0,Céligny,269
2,2013,0-19,6610,0,Céligny,271
2,2019,65+,6601,1,Aire-la-Ville,272
2,1992,65+,6629,7,Meinier,274
2,2019,65+,6635,4,Presinge,274
1,2010,65+,6604,8,Avusy,276
1,2019,65+,6611,4,Chancy,277
2,1992,0-19,6611,1,Chancy,277
2,2010,65+,6604,2,Avusy,277
2,2019,65+,6609,7,Cartigny,277
1,1992,0-19,6610,0,Céligny,278
1,1992,65+,6641,6,Troinex,278
2,2007,65+,6603,4,Avully,278
2,2007,65+,6626,3,Jussy,278
1,1995,0-19,6609,0,Cartigny,279
1,2010,0-19,6639,0,Soral,279
1,2001,65+,6629,6,Meinier,280
1,2013,65+,6614,5,Choulex,280
2,1992,0-19,6601,0,Aire-la-Ville,281
2,1998,0-19,6609,0,Cartigny,281
2,1992,65+,6632,4,Perly-Certoux,282
2,1992,0-19,6609,0,Cartigny,283
1,1992,65+,6638,4,Satigny,285
2,1992,65+,6614,5,Choulex,285
2,2019,0-19,6610,0,Céligny,285
1,2013,0-19,6639,0,Soral,286
2,1995,0-19,6611,0,Chancy,286
2,2001,0-19,6601,0,Aire-la-Ville,286
1,2004,0-19,6610,0,Céligny,287
1,2010,65+,6626,11,Jussy,287
2,2004,65+,6606,7,Bellevue,287
1,2004,65+,6636,10,Puplinge,288
1,2010,65+,6615,5,Collex-Bossy,288
1,1989,0-19,6610,0,Céligny,289
1,1995,0-19,6610,0,Céligny,289
1,1995,20-64,6624,2,Gy,289
1,2019,65+,6625,6,Hermance,290
2,2016,65+,6639,3,Soral,291
2,2016,0-19,6610,0,Céligny,292
1,2001,0-19,6610,0,Céligny,293
2,1989,0-19,6610,0,Céligny,293
2,2010,65+,6615,0,Collex-Bossy,293
1,1995,65+,6622,2,Genthod,294
1,1998,20-64,6624,0,Gy,294
1,1995,65+,6638,9,Satigny,295
2,1998,65+,6619,8,Corsier,295
1,1998,0-19,6610,0,Céligny,296
1,2004,65+,6606,9,Bellevue,296
2,1995,0-19,6609,0,Cartigny,296
2,2001,0-19,6625,0,Hermance,296
2,2019,65+,6611,5,Chancy,297
1,1989,0-19,6611,0,Chancy,298
1,1998,65+,6622,9,Genthod,298
1,2004,65+,6629,15,Meinier,299
2,1989,65+,6614,3,Choulex,300
1,1989,65+,6638,4,Satigny,302
1,2001,0-19,6609,0,Cartigny,302
2,1995,0-19,6601,0,Aire-la-Ville,303
2,1998,65+,6636,6,Puplinge,303
1,1998,65+,6632,7,Perly-Certoux,305
2,2013,0-19,6609,0,Cartigny,305
2,2013,65+,6625,3,Hermance,305
2,2016,0-19,6609,0,Cartigny,305
1,2004,65+,6619,4,Corsier,306
2,1989,65+,6641,5,Troinex,306
2,1995,65+,6632,4,Perly-Certoux,307
2,2007,0-19,6609,0,Cartigny,307
2,2001,0-19,6609,0,Cartigny,308
1,1992,0-19,6625,0,Hermance,309
1,2001,0-19,6601,0,Aire-la-Ville,309
2,1992,65+,6638,2,Satigny,309
2,1995,65+,6614,2,Choulex,310
2,1998,0-19,6601,0,Aire-la-Ville,310
1,1998,65+,6602,7,Anières,312
1,2010,65+,6603,6,Avully,312
2,1992,0-19,6614,0,Choulex,312
2,1995,20-64,6624,1,Gy,312
2,2001,65+,6614,3,Choulex,312
1,1995,65+,6641,2,Troinex,313
1,2013,65+,6604,5,Avusy,313
2,2004,0-19,6609,0,Cartigny,314
1,1998,0-19,6601,0,Aire-la-Ville,316
2,1989,65+,6638,4,Satigny,316
2,1998,65+,6614,8,Choulex,316
1,1992,0-19,6614,0,Choulex,318
1,2013,65+,6626,10,Jussy,318
2,2004,65+,6614,5,Choulex,318
2,2013,65+,6614,7,Choulex,318
2,1998,20-64,6624,2,Gy,319
2,2001,20-64,6624,6,Gy,319
1,2019,0-19,6639,0,Soral,320
1,2001,20-64,6624,1,Gy,321
1,2007,0-19,6609,0,Cartigny,321
1,2013,0-19,6609,0,Cartigny,321
1,2013,65+,6615,8,Collex-Bossy,321
2,2001,65+,6636,6,Puplinge,321
1,2016,0-19,6610,0,Céligny,322
1,2016,65+,6614,10,Choulex,322
2,1992,65+,6641,3,Troinex,322
2,2001,65+,6619,4,Corsier,323
2,1995,65+,6629,3,Meinier,324
2,2010,65+,6614,3,Choulex,324
2,2013,65+,6604,4,Avusy,324
2,2007,65+,6614,9,Choulex,325
1,2004,0-19,6609,0,Cartigny,326
2,2004,0-19,6601,0,Aire-la-Ville,327
1,1989,65+,6618,8,Confignon,329
2,2010,0-19,6609,0,Cartigny,329
1,2004,20-64,6624,1,Gy,330
1,2016,65+,6604,5,Avusy,330
2,1989,65+,6602,5,Anières,334
2,2004,20-64,6624,2,Gy,334
2,2019,65+,6639,4,Soral,334
2,2004,65+,6619,6,Corsier,335
2,2010,65+,6603,2,Avully,335
1,2010,0-19,6609,0,Cartigny,336
2,2007,0-19,6625,0,Hermance,339
1,2001,65+,6602,10,Anières,340
2,2004,0-19,6625,0,Hermance,340
1,1998,65+,6641,6,Troinex,341
1,2013,65+,6603,10,Avully,342
1,1989,65+,6642,5,Vandoeuvres,343
1,2019,65+,6626,11,Jussy,343
2,1998,65+,6632,3,Perly-Certoux,343
1,2016,65+,6615,4,Collex-Bossy,344
1,2019,65+,6614,10,Choulex,346
2,2004,20-64,6637,0,Russin,346
2,1998,0-19,6611,0,Chancy,347
2,2019,0-19,6639,0,Soral,347
1,2016,65+,6603,5,Avully,348
1,2007,20-64,6624,1,Gy,349
2,2016,65+,6604,6,Avusy,349
2,2016,65+,6614,5,Choulex,349
2,2019,0-19,6609,0,Cartigny,349
1,1995,0-19,6625,0,Hermance,350
1,2019,65+,6604,3,Avusy,350
2,2016,65+,6625,7,Hermance,351
1,2004,0-19,6601,0,Aire-la-Ville,352
2,2010,0-19,6625,0,Hermance,353
2,2010,65+,6626,6,Jussy,353
1,2001,65+,6641,14,Troinex,354
1,2001,65+,6632,5,Perly-Certoux,355
1,2019,65+,6603,7,Avully,355
1,2019,65+,6615,7,Collex-Bossy,355
2,2013,65+,6615,3,Collex-Bossy,355
2,1989,0-19,6626,0,Jussy,356
2,1998,65+,6629,5,Meinier,356
2,2001,20-64,6637,1,Russin,356
1,2001,65+,6622,14,Genthod,357
1,1992,0-19,6611,0,Chancy,358
1,2004,0-19,6614,0,Choulex,358
2,1989,0-19,6615,0,Collex-Bossy,358
2,1995,65+,6641,7,Troinex,358
2,2007,0-19,6614,0,Choulex,359
2,1995,20-64,6637,0,Russin,362
2,2007,20-64,6637,0,Russin,362
2,2019,65+,6604,6,Avusy,362
1,2019,0-19,6610,0,Céligny,363
1,2016,0-19,6609,0,Cartigny,364
1,2001,20-64,6637,2,Russin,365
1,2007,65+,6629,9,Meinier,365
2,2010,0-19,6614,0,Choulex,365
1,1995,0-19,6611,0,Chancy,366
1,2016,65+,6626,10,Jussy,367
2,2004,65+,6636,6,Puplinge,367
1,1992,65+,6642,7,Vandoeuvres,368
1,2007,65+,6619,7,Corsier,368
2,1989,20-64,6637,3,Russin,368
2,2001,0-19,6611,0,Chancy,368
2,2007,20-64,6624,0,Gy,368
1,2004,20-64,6637,2,Russin,369
1,2007,65+,6606,9,Bellevue,370
2,2001,0-19,6614,0,Choulex,370
1,1995,0-19,6614,0,Choulex,371
1,1995,20-64,6637,1,Russin,371
2,2001,65+,6629,6,Meinier,371
2,2019,65+,6625,9,Hermance,372
1,1998,0-19,6614,0,Choulex,375
2,1995,65+,6638,7,Satigny,375
2,1998,20-64,6637,1,Russin,375
2,2019,0-19,6614,0,Choulex,375
2,1995,0-19,6614,0,Choulex,376
1,2007,65+,6636,11,Puplinge,377
1,1992,65+,6618,4,Confignon,379
1,1998,0-19,6625,0,Hermance,379
2,2007,65+,6606,6,Bellevue,379
1,1998,20-64,6637,1,Russin,380
1,2001,0-19,6614,0,Choulex,382
2,1992,20-64,6637,0,Russin,382
2,2016,0-19,6625,0,Hermance,382
2,1998,0-19,6614,0,Choulex,383
2,2001,65+,6632,2,Perly-Certoux,383
2,2004,0-19,6614,0,Choulex,383
1,2004,65+,6641,12,Troinex,384
1,1998,65+,6638,9,Satigny,385
1,2016,0-19,6614,0,Choulex,385
2,2007,65+,6619,5,Corsier,385
2,2016,65+,6615,3,Collex-Bossy,385
1,1989,20-64,6635,2,Presinge,386
1,2001,0-19,6611,0,Chancy,386
1,1998,0-19,6611,0,Chancy,387
1,2007,0-19,6625,0,Hermance,387
1,2013,0-19,6625,0,Hermance,389
2,1992,0-19,6626,0,Jussy,389
2,2013,65+,6626,5,Jussy,389
1,2001,0-19,6625,0,Hermance,390
2,2013,0-19,6625,0,Hermance,390
1,1989,20-64,6637,0,Russin,391
1,2010,0-19,6614,0,Choulex,391
2,2016,0-19,6614,0,Choulex,391
1,2010,0-19,6625,0,Hermance,392
2,2013,0-19,6614,1,Choulex,392
1,2004,65+,6602,11,Anières,393
1,2007,20-64,6637,1,Russin,393
2,2019,0-19,6625,1,Hermance,393
1,2010,20-64,6624,7,Gy,396
1,2019,0-19,6609,0,Cartigny,396
2,2013,65+,6603,13,Avully,396
2,1989,65+,6618,4,Confignon,397
1,2013,0-19,6614,1,Choulex,398
1,1992,20-64,6637,0,Russin,399
1,2004,0-19,6611,0,Chancy,400
1,2007,0-19,6614,0,Choulex,401
1,2019,20-64,6624,5,Gy,403
